Chris Bushell,Which year was ThoughtWorks founded?,1993,1998,2002
Chris Bushell,Martin Fowler is known as ThoughtWorks,Chief Scientist,Bearded Wonder,CTO
Chris Bushell,ThoughtWorks has offices in how many countries?,8,4,10
Mary-Anne Cosgrove,Which of these is a prototype-based language?,Io,Haskell,Erlang
Mary-Anne Cosgrove,Which of these is a pure functional language?,Haskell,Ruby,Scala
Scott Robinson,What is the abbreviation for Amazon's AWS column based data store?,SimpleDB,EC2,S3
Patrick Turley,What is ThoughtWorks primary business?,Custom software consulting,Products that help people build software,Beer brewing
Rohit Maurya,How many products does ThoughtWorks Studios have?,3,2,5
Andy Marks,What are the responsibilities of these roles in a stand-up?,"Pigs talk, chickens listen","Pigs listen, chickens talk","Pigs oink, chicken: kokoriko!"
Andy Marks,How many (a) values and (b) principles are listed at agilemanifesto.org,4 and 12,4 and 11,5 and 10
Andy Marks,"In order, what are the steps when doing Test Driven Development?",Red/Green/Refactor,Green/Red/Refactor,Red/Refactor/Green
Andy Marks,The majority of the services provided by AWS are best described as:,IaaS,SaaS,PaaS
Andy Marks,Which of the following is not marketed as a functional programming language?,Scala,Clojure,Scheme
Andy Marks,Which of the following is not on the most recent edition of the Tech Radar?,Delphi,Clojure,DevOps
Andy Marks,"The seminal software text colloquially referred to as the ""Gang of Four” is about?",Design Patterns,Functional Programming,Scrum
Andy Marks,"If you overheard a ThoughtWorks developer talking about “Passenger”, “Mongrel” and “Bundler”, what language do you think they are talking about?",Ruby,Java,C#
Andy Marks,Pick the odd one out:,Puppet,Selenium,Concordian
Rohit Maurya,What is Twist?,Test Automation tool,Platform,Test Management tool
Silvio Montanari,When is Planning Poker used?,When estimating a story card,During inception for prioritization of story cards,After a showcase to bet on the next iteration velocity
Liauw Fendy,What language is most closely associated with the actors model of concurrency?,Erlang,Ruby,Java
Liauw Fendy,Currying is also known as?,Schönfinkeling,Overriding,Overloading
Alex Ong,What does the EC2 acronym stand for in the Amazon Web Services cloud offering?,Elastic Compute Cloud,Electric Computation 2,Enterprise Cloud Connection
Patrick Turley,Who wrote the first code compiler?,Grace Hopper,Ada Lovelace,Kay McNulty
Patrick Turley,In which decade was Python invented?,80's,90's,70's
Patrick Turley,Which language was developed first?,Lisp,Cobol,Basic
Nat,Who is the author of the book Continuous Delivery?,Jez Humble,Martin Fowler,Jim Highsmith
dreed,Which of the following statements is NOT from the Agile Manifesto?, Responding to change over processes and tools,Customer collaboration over contract negotiation,Working software over comprehensive documentation
dreed,Agile teams should be?,Empowered to make local decisions,Managed closely to avoid scope creep,Use a lot of 'spikes' to ensure performance
Nat,ThoughtWorks University is located in?,India,Chicago,London
Nat,Which of the following is NOT a ThoughtWorks Studios product?,Jira,Mingle,Go
Nat,Approximately how many people are employed at ThoughtWorks worldwide?,2000,1000,1500
QQ,ThoughtWorks does not have office in which country?,France,China,India
Patrick Turley,"Other than South Africa, where else does ThoughtWorks have an office in Africa?",Uganda,Ghana,Nigeria
Prasanna Pendse,Who created Python?,Guido van Rossum,John Denero,Alan Kay
Kao Félix,Which document describes the style conventions for Python source code?,PEP-8,PEP-18,PEP-2
Kao Félix,Which one is not an aphorism from the Zen of Python (PEP-20)?,Purity is better than density.,Explicit is better than implicit.,Simple is better than complex.
Patrick Turley,What best describes the Python language?,Dynamically typed,Statically typed,Slowly typed
Patrick Turley,What are the standard metasyntactic variables in the Python community?,"Spam, ham and eggs","Foo, bar, and baz","Foo, loo, and goo"
Patrick Turley,Which of the following is not an alternate implementation of Python?,APython,JPython,RPython
Patrick Turley,"Where is the ThoughtWorks Johannesburg office located?","Braamfontein","Sandton","Rosebank"